date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
1963-07-01,-0.0039000000000000003,-0.0048,-0.008100000000000001,0.0064,-0.0115,0.0027,0.0101
1963-08-01,0.0508,-0.008,0.017,0.004,-0.0038,0.0025,0.01
1963-09-01,-0.015700000000000002,-0.0043,0.0,-0.0078000000000000005,0.0015,0.0027,0.0012
1963-10-01,0.0254,-0.0134,-0.0004,0.0279,-0.0225,0.0029,0.0313
1963-11-01,-0.0086,-0.0085,0.0173,-0.0043,0.0227,0.0027,-0.0078000000000000005
1963-12-01,0.0183,-0.0189,-0.0021,0.0012,-0.0025,0.0029,0.0184
1964-01-01,0.0227,0.001,0.0163,0.0021,0.0148,0.003,0.0102
1964-02-01,0.0155,0.0033,0.0281,0.0011,0.008100000000000001,0.0026,0.0033
1964-03-01,0.0141,0.0141,0.0329,-0.0203,0.0298,0.0031,0.0069
1964-04-01,0.0011,-0.0148,-0.0054,-0.0132,-0.0113,0.0029,-0.0064
1964-05-01,0.0141,-0.0062,0.0181,-0.0015,0.0013,0.0026,0.0253
1964-06-01,0.0127,0.0013,0.0068000000000000005,-0.0033,0.001,0.003,0.004699999999999999
1964-07-01,0.0174,0.005,0.0079,0.0015,0.018500000000000003,0.003,-0.0038
1964-08-01,-0.0144,0.0029,0.0007000000000000001,0.0015,0.0031,0.0028000000000000004,-0.0025
1964-09-01,0.0269,-0.0034000000000000002,0.0172,-0.005,0.005600000000000001,0.0028000000000000004,-0.0039000000000000003
1964-10-01,0.006,0.009000000000000001,0.0108,-0.002,0.0052,0.0029,0.0019
1964-11-01,-0.0001,-0.0024,-0.0204,0.0070999999999999995,-0.0016,0.0029,0.011000000000000001
1964-12-01,0.0004,-0.006500000000000001,-0.024300000000000002,0.0095,-0.0155,0.0031,-0.0069
1965-01-01,0.0354,0.025,0.0036,0.009399999999999999,-0.0002,0.0028000000000000004,-0.0138
1965-02-01,0.0044,0.032400000000000005,0.0022,0.0026,-0.0062,0.003,0.0024
1965-03-01,-0.0134,0.0208,0.0115,-0.0029,0.006500000000000001,0.0036,0.0017000000000000001
1965-04-01,0.0311,0.011399999999999999,0.0073,0.0029,-0.0227,0.0031,0.0253
1965-05-01,-0.0078000000000000005,0.0005,-0.0155,-0.0042,0.0059,0.0031,0.0055000000000000005
1965-06-01,-0.055099999999999996,-0.042,0.0023,0.0024,0.0043,0.0034999999999999996,-0.0318
1965-07-01,0.0144,0.011000000000000001,0.0219,-0.0141,-0.0008,0.0031,0.0409
1965-08-01,0.0273,0.0277,-0.0098,0.0203,-0.008100000000000001,0.0033,0.0258
1965-09-01,0.0286,0.006999999999999999,-0.0014000000000000002,-0.0085,0.0073,0.0031,0.0329
1965-10-01,0.026000000000000002,0.0345,0.0155,0.011899999999999999,-0.0076,0.0031,0.0345
1965-11-01,-0.0002,0.052199999999999996,0.0016,-0.0108,-0.0087,0.0034999999999999996,0.044000000000000004
1965-12-01,0.0101,0.0262,0.0215,-0.013000000000000001,-0.0055000000000000005,0.0033,-0.001
1966-01-01,0.0072,0.048499999999999995,0.0327,-0.0265,-0.0026,0.0038,0.0528
1966-02-01,-0.0121,0.0479,0.0038,-0.0016,-0.014499999999999999,0.0034999999999999996,0.0458
